,Producto,Marca,Cantidad,Calorias (kcal),Grasa (g),Carbohidrato (g),Proteina (g)
205,"Lomo de Res (Magro, Recortado a 0,3 Cm de Grasa)",,por 100 g ,127,3.54,0.0,22.27
206,Mermelada Light de Damasco,Arcor,por 1 cucharada de sopa (20g) ,27,0.0,7.0,0.0
207,Mermelada de Higo,El Brocal,por 1 cucharada (20g) ,51,0.0,12.0,0.3
208,Mermelada Frutos Rojos,Dia,por 1 cucharada (20g) ,50,0.0,13.0,0.0
209,Mermelada de Durazno Light,El Brocal,por 1 cucharada  ,32,0.0,8.2,0.0
210,Mermelada de Durazno sin Azucar,Orieta,por 1 cucharada sopera (20g) ,26,0.0,7.0,0.0
211,Mermelada de Frutilla,Best,por 1 cuchara de sopa (20g) ,53,0.0,13.0,0.0
212,Mermelada de Durazno con Semillas,Cuarto Creciente,por 1 cucharada (20g) ,10,0.32,1.6,0.2
213,Mermelada de Frutilla ,La Campagnola,por 1 cucharada de sopa (20g) ,55,0.0,14.0,0.0
214,Mermelada de Arándano Light,Canale,por 1 cucharada sopera (20g) ,31,0.0,6.8,0.7
215,Mermelada de Frutilla,Arcor,por 1 cucharada sopera (20g) ,52,0.0,13.0,0.0
216,Stax,Lay's,por 100g ,530,32.0,57.0,3.6
217,Papas Fritas sin Sal,Primer Precio,por 1 porción (25g) ,130,8.0,13.0,1.5
218,Crema Ácida y Papas Fritas con Sabor a Cebolla,Dia,por 100 g ,531,33.9,51.5,8.1
219,Potato Crisps Sabor Crema y Cebolla,Lay's,por 14 unidades (25g) ,135,8.0,14.0,1.0
220,Restó Lomo con Cebolla Caramelizada,3D,por 1 porción (25g) ,126,7.9,12.0,1.8
221,Megatube Mega Queso,,por 1 taza de té (25g) ,132,7.9,14.0,1.3
222,Galletas de Azúcar (Incluye Vainilla),,por 1 galleta ,72,3.16,10.18,0.76
223,Galletas (con Relleno de Vainilla),,por 1 roscón ,48,2.0,7.21,0.45
224,Galletas de Chocolate (con Mantequilla),,por 1 mediana ,78,4.54,9.31,0.91
225,Pasta de Trigo Entero Seco,,por 100 g ,348,1.4,75.03,14.63
226,Pizza de Pepperoni (36 Cm),,por 1 tajada ,298,12.13,33.98,13.32
227,"Sustituto de Crema (Ligero, Líquido)",,por 1 taza ,167,8.47,22.02,1.94
228,Crema Agria (de Cultivo),,por 1 cucharada ,26,2.52,0.51,0.38
229,Fondue de Queso,,por 1 taza ,492,28.96,8.11,30.59
230,Corazón de Pollo,,por 100 g ,153,9.33,0.71,15.55
231,Carne Molida de Avestruz,,por 100 g ,165,8.7,0.0,20.22
232,Manteca de Maní,Sytari,por 1 cucharada (15g) ,91,6.8,4.0,3.4
233,Turrón de Mani,Body Vida,por 1 turrón (20g) ,88,3.0,15.0,1.0
234,Maní con Chocolate,Georgalos,por 2 1/2 cucharada de sopa (25g) ,145,10.0,9.0,5.0
235,Barra Crocante de Arroz Inflado con Maní y Miel,Egran,por 1 barra (20g) ,84,1.3,17.0,1.1
236,Maní Salado sin Piel,Croppers,por 100g ,601,49.0,15.0,25.0
237,Crema de Maní Proteica ,Byour Food,por 1 cucharada (17g) ,95,7.7,1.5,4.9
238,Maní Crocante,Mani King,por 100g ,464,24.0,47.0,15.0
239,Crema de Maní Natural,Hardy,por 1 cucharada de sopa (25g) ,119,9.9,2.7,4.8
240,Garrapiñadas de Maní,Bonafide,por 25 unidades ,115,4.4,16.0,2.4
241,Frutos Mezclados Tostados con Maní,,por 1 porción de 10 frutos secos variados ,86,7.89,3.0,2.35
242,Galletitas Dulces,Alfa Pampa,por 1 unidad (19g) ,78,4.4,9.0,0.8
243,Pan Dulce de Canela (con Crema de Vainilla),Cachafaz,por 1 rollo ,100,3.66,15.48,1.5
244,Maíz Dulce,Carrefour,por 100 g ,86,1.18,19.02,3.22
245,Galletitas,Rocklets,por 2 galletitas (25g) ,101,4.5,13.0,2.2
246,Galletitas Dulces Multifruta,Ser,por 3 unidades (35g) ,153,5.4,24.0,2.0
247,Galletitas ,9 de Oro,por 3 galletitas (32g) ,153,6.5,22.0,2.0
248,Masa de Pan Dulce Rellena de Carne (al Vapor),Frutigran,por 1 manapua ,215,8.89,21.74,10.76
249,Galletitas Dulces Sabor Vainilla,,por 8 galletitas (32g) ,127,2.4,23.0,2.9
250,Bizcochos de Arroz Dulces,,por 18 galletas (25g) ,95,0.0,22.0,1.7
251,Galletitas Dulces con Salvado,,por 2 galletas (30g) ,130,4.5,20.0,2.3
252,Palomitas de Maíz con Sabor a Queso,,por 1 taza ,58,3.65,5.68,1.02
253,Imitación del Cangrejo Rey de Alaska (a Partir de Surimi),,por 100 g ,102,1.31,10.22,12.02
254,Barras de Granola Blandas Recubiertas con Chispas de Chocolate,,por 1 barra ,163,8.72,22.33,2.03
255,Chips de Tortilla (de Maíz Blanco),,por 100 g ,488,23.36,65.32,7.79
256,Pan Dulce de Canela (con Crema de Vainilla),,por 1 rollo ,100,3.66,15.48,1.5
257,Pan de Maíz (Bollo de Maíz) (Mezcla Seca),,por 100 g ,418,12.2,69.5,7.0
258,"Polvo de Hornear (Fosfato Directamente, de Doble Efecto)",,por 1 cucharadita ,2,0.0,1.11,0.0
259,Panecillos de Salvado de Avena,,por 1 mediano ,305,8.36,54.58,7.91
260,Pastel de Merengue de Limón,,por 1 trozo ,362,16.38,49.66,4.83
261,Garrapiñadas de Almendras,,por 100 g ,472,17.5,68.69,10.0
262,"Arroz Blanco (de Grano Corto, Cocido)",Rincon Integral,por 1 taza ,242,0.35,53.44,4.39
263,Sándwich de Galletas de Chocolate (con Crema de Relleno),Arrocitas,por 1 galleta ,47,1.91,7.16,0.53
264,Chispas de Chocolate para Galletas (con Margarina),,por 1 mediana ,78,4.53,9.34,0.91
265,Galletas de Chocolate,,por 1 oblea ,26,0.85,4.34,0.4
266,Galletas de Arroz Integral con Sal,,por 4 galletas (30g) ,112,0.7,24.0,2.4
267,"Suero de Mantequilla o Galletas (Mezcla Seca, Preparada)",,por 100 g ,335,12.1,48.4,7.3
268,"Carne Molida de Res (95% Magra / 5% de Grasa, Empanada, Cocido, Asado a la Parrilla)",,por 1 porción ,145,5.57,0.0,22.35
269,Tortas de Arroz Integral Multicereales,,por 1 torta ,35,0.32,7.21,0.76
270,Galletas de Arroz Yamani Trigo y Avena,,por 4 galletas (26g) ,100,0.9,20.0,2.6
271,Tortas de Arroz Integral,,por 1 torta ,35,0.25,7.34,0.74
272,Tostadas con Fibras y Semillas,Carrefour,por 3 1/2 tostadas (30g) ,116,2.1,21.0,3.4
273,Tostadas Light,Bauducco,por 3 tostadas (30g) ,92,1.3,17.0,3.0
274,Tostadas de Pan Light,COTO,por 3 unidades (30g) ,108,0.9,22.0,3.5
275,Tostadas Light Saladas,Veneziana,por 3 tostadas (30g) ,110,1.3,22.0,3.0
276,Tostadas Dietéticas Salvado y Chia,Fitz Roy,por 4 tostadas (30g) ,123,0.0,22.0,5.0
277,Tostadas con Salvado con Gluten,Fargo,por 2 tostadas (30g) ,112,1.0,21.0,4.4
278,Tostadas Dietéticas,Fitz Roy,por 4 tostadas (30g) ,108,0.0,22.0,4.0
279,Tostadas Dulces,Bimbo,por 5 unidades (30g) ,117,1.6,22.0,3.7
280,Tallarin,Best,por 1 plato (80g) ,283,2.1,57.0,8.8
281,Tostadas de Arroz Multi Semillas,Lulemuu,por 12 tostadas (30g) ,109,0.9,23.0,1.8
282,Mocha Frappuccino (Tall),Starbucks,por 1 porción (354ml) ,280,11.0,43.0,5.0
283,Carajillo,Nescafé Dolca,por 1 taza de café ,92,0.02,3.41,0.15
284,Café Moka,Bonafide,por 1 mediano ,394,9.14,66.97,10.94
285,Capuchino,Nescafé Dolce Gusto,por 1 taza ,74,3.98,5.81,4.08
286,Café Helado con Crema,Nescafé Dolce Gusto,por 1 taza de café ,26,1.47,2.91,0.39
287,Cortado,,por 3 cucharadas de té (10g) ,39,0.5,7.0,1.9
288,Sensaciones Torrado Intenso,,por 1 cuchara de sopa (5g) ,10,0.0,1.5,0.0
289,Cappuccino,,por 1 cápsula leche  ,82,4.0,8.0,3.6
290,Chai Latte,,por 1 mediana ,264,6.38,44.86,7.95
291,Mocha,,por 1 porción (27g) ,119,5.1,13.0,5.5
292,Paté de Foie,San Remo,por 1 cucharada de té (10g) ,18,1.2,0.6,1.2
293,Paté de Foie con Pimienta Verde,Swift,por 1 cucharada de té (10g) ,32,3.1,0.0,0.8
294,Paté de Salmón,Swift,por 1 cucharada de té (10g) ,26,2.4,0.0,0.9
295,Paté de Atún,Carrefour,por 1 cuchara de té (10g) ,26,1.9,0.9,1.5
296,Té Verde,La Virginia,por 1 saquito (2g) ,0,0.0,0.0,0.0
297,Levité Cero,Villa del Sur,por 1 vaso (200ml) ,0,0.0,0.0,0.0
298,Mermelada Dietética de Arándanos ,Trini,por 1 cuharada sopera (20g) ,18,0.0,6.0,0.0
